Room,Date,Day,Start,Duration,Title,ID,Abstract,Description,Language,Speakers,File URL
mainhall,2018-06-08,2,13:00,00:30,Camomile: Creating audio plugins with Pure Data,44,"Camomile is an audio plugin with Pure Data embedded allowing to create original and cross-platform audio plugins using patches and that could run in any digital audio workstation that accepts the VST or Audio Unit formats. The paper presents an overview of the current functionalities of Camomile and the possibilities offered by this tool. Following this, the main lines of the future developments are exposed.","Camomile is an audio plugin with Pure Data embedded allowing to create original and cross-platform audio plugins using patches and that could run in any digital audio workstation that accepts the VST or Audio Unit formats. The paper presents an overview of the current functionalities of Camomile and the possibilities offered by this tool. Following this, the main lines of the future developments are exposed.",en,17:Pierre Guillot, 
ceminar,2018-06-08,2,14:30,01:00,The levTools – a modular toolset in purr data for creating and teaching electronic music,11,"The levTools are a set of abstractions for Pure Data, that are primarily designed for teaching electronic music. Moreover, they have a huge creative potential for experienced pd-users or computer musicians in general, especially when working on linux-based OS. The flexible and open character of the modular toolset allows multiple approaches.
The levTools are free and open source. They were developed by Marten Seedorf in the context of the Berlin based lev–project, an educational project focussing on electronic music culture.
This workshop introduces the levTools.","The levTools are a set of abstractions for Pure Data, that are primarily designed for teaching electronic music. Moreover, they have a huge creative potential for experienced pd-users or computer musicians in general, especially when working on linux-based OS. The flexible and open character of the modular toolset allows multiple approaches.
The levTools are free and open source. They were developed by Marten Seedorf in the context of the Berlin based lev–project, an educational project focussing on electronic music culture.
This workshop introduces the levTools.",en,18:Marten Seedorf| 19:Simon Steinhaus, 
mainhall,2018-06-08,2,14:30,01:30,Djing with FLOSS: Mixxx Workshop,7,"Many of us would love to start DJing with software, comparable to commercial offerings out there. Thanks to the fantastic work that the Mixxx has done, it is now possible.

However, Mixxx could be a little off-putting due to the fact that setting a controller up might not be as user friendly as with software like Traktor.

Louigi will run through all the difficult places, demonstrate how to set things up with a random midi controller (i.e., not explicitly supported by Mixxx templates), and how to use scripts.

Hopefully after this workshop people will have a good guide on how to start working with Mixxx!

A list of things discussed:

1. Choosing an XML template for Mixxx UI
2. Customizing the template for your needs
3. Setting up preferences
4. Adding a midi controller in

   4.1 Figuring out the midi signals map

   4.2 Organizing your controller XML file

   4.3 Scripting and why its not scary

5. A demo
","Many of us would love to start DJing with software, comparable to commercial offerings out there. Thanks to the fantastic work that the Mixxx has done, it is now possible.

However, Mixxx could be a little off-putting due to the fact that setting a controller up might not be as user friendly as with software like Traktor.

Louigi will run through all the difficult places, demonstrate how to set things up with a random midi controller (i.e., not explicitly supported by Mixxx templates), and how to use scripts.

Hopefully after this workshop people will have a good guide on how to start working with Mixxx!

A list of things discussed:

1. Choosing an XML template for Mixxx UI
2. Customizing the template for your needs
3. Setting up preferences
4. Adding a midi controller in

   4.1 Figuring out the midi signals map

   4.2 Organizing your controller XML file

   4.3 Scripting and why its not scary

5. A demo
",en,3:Louigi Verona, 
spektrum,2018-06-08,2,16:00,04:00,Caracoles IV,57,"Caracoles IV is an installation that uses interactive feedback systems to sonically explore modified conch shells known as a pututus, which are andean musical instruments fashioned out of conch shells. These instruments existed far before colonial occupation in the 15th century and work as a kind of cornet or trumpet, by adding an embouchure to the shell. However, this musical instrument is not created by a human alone, but is also the creation of a large snail which once inhabited it; it is the mollusc’s exoskeleton and home and it is shaped by its existence. When the snail dies, the spiral-shaped shell is emptied of its organic body and eventually appropriated by the instrument maker to fashion an instrument out of it. In this installation, a third appropriation takes place: I place a microphone in the embouchure and a speaker at the end of the spiral canal and connect them through a feedback system controlled by a Pure Data (Pd) patch running on a raspberry pi zero, all hidden inside the shell. The system detects resonant feedback frequencies and temporarily cancels them with filters to push the system to find another resonant frequency, and so on, generating in this way a sequence of resonant frequencies of the shell. This installation is also a play on the belief that conch shells are a way to listen to the sea. In fact, the shell acts as a filter and resonant cavity to our own bodies and spaces, thus, its resonant frequencies are activated by the presence of people in the installation space. In this way, each shell is a collaboration between humans, conch-shells and interactive systems, but also an interaction between all of the shells because each of them have their own acoustic properties, but their resonances are audible to each other, thus generating unpredictable sonic landscapes.","Caracoles IV is an installation that uses interactive feedback systems to sonically explore modified conch shells known as a pututus, which are andean musical instruments fashioned out of conch shells. These instruments existed far before colonial occupation in the 15th century and work as a kind of cornet or trumpet, by adding an embouchure to the shell. However, this musical instrument is not created by a human alone, but is also the creation of a large snail which once inhabited it; it is the mollusc’s exoskeleton and home and it is shaped by its existence. When the snail dies, the spiral-shaped shell is emptied of its organic body and eventually appropriated by the instrument maker to fashion an instrument out of it. In this installation, a third appropriation takes place: I place a microphone in the embouchure and a speaker at the end of the spiral canal and connect them through a feedback system controlled by a Pure Data (Pd) patch running on a raspberry pi zero, all hidden inside the shell. The system detects resonant feedback frequencies and temporarily cancels them with filters to push the system to find another resonant frequency, and so on, generating in this way a sequence of resonant frequencies of the shell. This installation is also a play on the belief that conch shells are a way to listen to the sea. In fact, the shell acts as a filter and resonant cavity to our own bodies and spaces, thus, its resonant frequencies are activated by the presence of people in the installation space. In this way, each shell is a collaboration between humans, conch-shells and interactive systems, but also an interaction between all of the shells because each of them have their own acoustic properties, but their resonances are audible to each other, thus generating unpredictable sonic landscapes.",en,22:Jaime E Oliver La Rosa, 
ceminar,2018-06-08,2,17:00,02:00,Inbuilt Musicality,12,"This Workshop demonstrates the use of the Yoshimi soft synthesiser as a platform for building entirely synthetic musical instruments, based on exploring the structure and interplay of defining traits within musical sound. Starting from characteristic overtones and spectral patterns as foundation, the specific body of the tone can be shaped by fine tuning the transients. Further techniques of transforming the sound are used to build a fabric of related sound layers and create a distinct voice, able to operate within the musical context of the composition.","This Workshop demonstrates the use of the Yoshimi soft synthesiser as a platform for building entirely synthetic musical instruments, based on exploring the structure and interplay of defining traits within musical sound. Starting from characteristic overtones and spectral patterns as foundation, the specific body of the tone can be shaped by fine tuning the transients. Further techniques of transforming the sound are used to build a fabric of related sound layers and create a distinct voice, able to operate within the musical context of the composition.",en,20:Hermann Voßeler, 
mainhall,2018-06-08,2,17:00,01:30,Getting Started with Purr Data,15,"This hands-on workshop is intended for Pd and Linux audio users who want to start using Purr Data. For an introduction to Purr Data, please check our [LAC17 presentation](https://www.youtube.com/watch?v=T1wo496Zx0s) and the [Quick Introduction](https://agraef.github.io/purr-data-intro). Topics of the 90 min workshop vary from the basics to the moderately advanced and include:

- Getting a minimal Purr Data installation up and running quickly on Linux (compiling from source).

- First-time setup (configuring MIDI and audio devices, setting up Pd-Lua).

- Real-time audio and MIDI processing, making music with Purr Data.

- Programming new objects (a.k.a. Pd externals) the easy way with [Pd-Lua](https://github.com/agraef/pd-lua).

- Custom graphics and data structure visualizations in Purr Data.
","This hands-on workshop is intended for Pd and Linux audio users who want to start using Purr Data. For an introduction to Purr Data, please check our [LAC17 presentation](https://www.youtube.com/watch?v=T1wo496Zx0s) and the [Quick Introduction](https://agraef.github.io/purr-data-intro). Topics of the 90 min workshop vary from the basics to the moderately advanced and include:

- Getting a minimal Purr Data installation up and running quickly on Linux (compiling from source).

- First-time setup (configuring MIDI and audio devices, setting up Pd-Lua).

- Real-time audio and MIDI processing, making music with Purr Data.

- Programming new objects (a.k.a. Pd externals) the easy way with [Pd-Lua](https://github.com/agraef/pd-lua).

- Custom graphics and data structure visualizations in Purr Data.
",en,21:Albert Gräf, 
ceminar,2018-06-08,2,20:00,04:00,Sentire,17,"Sentire is an Italian word that means both to hear and to feel. The project is about exploring the fine mixture of these two senses and, particularly, to their amplification and morphing.

'Sentire' project was initiated by two Berlin-based artists Marcello Lussana and Olga Kozmanidze in 2016. The project consists of two parts: immersive performance series based on interactive sound and PhD research on human perception. In the course of the project we have been using a device (bracelets) connecting two people to the sound system and tracking distance and touch events between them. We apply and constantly develop a method of device usage according to which participants proceed through a scenario of two phases interaction. Depending on distance and touch between them different sounds are triggered and changing, creating an instant sound feedback. Gradually both hearing and sense of touch morth one into another giving a chance to perceive one's body on a deep level.

The interactive system has been designed with the Supercollider software and it runs on Linux Mint.","Sentire is an Italian word that means both to hear and to feel. The project is about exploring the fine mixture of these two senses and, particularly, to their amplification and morphing.

'Sentire' project was initiated by two Berlin-based artists Marcello Lussana and Olga Kozmanidze in 2016. The project consists of two parts: immersive performance series based on interactive sound and PhD research on human perception. In the course of the project we have been using a device (bracelets) connecting two people to the sound system and tracking distance and touch events between them. We apply and constantly develop a method of device usage according to which participants proceed through a scenario of two phases interaction. Depending on distance and touch between them different sounds are triggered and changing, creating an instant sound feedback. Gradually both hearing and sense of touch morth one into another giving a chance to perceive one's body on a deep level.

The interactive system has been designed with the Supercollider software and it runs on Linux Mint.",en,40:Marcello Lussana, 
mainhall,2018-06-08,2,21:00,00:10,Memorie,29,"This composition is made up of sounds that represent various moments of my childhood. In particular, I used sounds that still make me feel special emotions such as: the rain, the planes, the clamour of people, musical bands, the tick of old clocks, the glitches, etc. By listening to this piece I go back to that period of my life which I am particularly attached to and which unfortunately will not return any more.
This composition has been realized with Linux KXstudio.","This composition is made up of sounds that represent various moments of my childhood. In particular, I used sounds that still make me feel special emotions such as: the rain, the planes, the clamour of people, musical bands, the tick of old clocks, the glitches, etc. By listening to this piece I go back to that period of my life which I am particularly attached to and which unfortunately will not return any more.
This composition has been realized with Linux KXstudio.",en,24:Massimo Fragalà, 
mainhall,2018-06-08,2,21:11,00:08,Dark Path #2 (multichannel vers.),55,None,None,en,26:Anna Terzaroli, 
mainhall,2018-06-08,2,21:22,00:11,Iammix,51,Electroacoustic 8-channel fixed media composition,Electroacoustic 8-channel fixed media composition,en,28:Magnus Johansson, 
mainhall,2018-06-08,2,21:35,00:09,Bus No. 1,45,None,None,en,27:Helene Hedsund, 
mainhall,2018-06-08,2,22:30,00:08,Atlas Of Uncertainty,1,"Atlas of Uncertainty is an experimental music video based on the representation of 4 Classical elements, that typically refer to the concepts in Ancient Greece of water, fire, earth and aether, which were proposed to explain the nature and complexity of all matter in terms of simpler substances.
The music that accompanies this computer generated video is a sonic continuum ranging from unaltered natural sounds to entirely new sounds - or, more poetically -- from the real world to the realm of the imagination. of the imagination.
Heterogeneous inharmonic sound materials are explored through various techniques (granular, subtractive). The sounds and the images are here combined in well- identifiable gestures.

The video received two HONORABLE MENTIONS in India and USA; and a prize as best short in Canada and has also been finalist in some competitions (ROMART BIENNALE 2017,
Rome, Italy; MATERA INTERMEDIA 2017, Matera, ITALY);
","Atlas of Uncertainty is an experimental music video based on the representation of 4 Classical elements, that typically refer to the concepts in Ancient Greece of water, fire, earth and aether, which were proposed to explain the nature and complexity of all matter in terms of simpler substances.
The music that accompanies this computer generated video is a sonic continuum ranging from unaltered natural sounds to entirely new sounds - or, more poetically -- from the real world to the realm of the imagination. of the imagination.
Heterogeneous inharmonic sound materials are explored through various techniques (granular, subtractive). The sounds and the images are here combined in well- identifiable gestures.

The video received two HONORABLE MENTIONS in India and USA; and a prize as best short in Canada and has also been finalist in some competitions (ROMART BIENNALE 2017,
Rome, Italy; MATERA INTERMEDIA 2017, Matera, ITALY);
",en,23:Massimo Vito Avantaggiato, 
mainhall,2018-06-08,2,22:40,00:10,Spycher,48,tape 8 ch,tape 8 ch,en,29:Michele Del Prete, 
mainhall,2018-06-08,2,22:52,00:15,SHIFT,16,"SHIFT (2014)
psychoacoustic music for 140 oscillators

SHIFT is rather a psychoacoustic than an electroacoustic piece. Because the usual musical aspects of composition, temporal structures or single sound events are secondary here. The focal point of this piece is the shifting attention during listening. The essential events in this piece are the individual moments when the attention of the listener detaches itself from the perceived sound which evolves only very slowly and which seems to be rather static for a long time.
Looking for changes in the environment and being alerted by sudden events is the daily business of our brains - a heritage of our evolutionary history. We are adapting our senses to the slightest input changes if nothing else is happening. So even when there is just one and the same sound texture we tend to extract a foreground from a slowly changing background after a while - even when there is no real difference.
The points of a change in the listeners perception, the detection - or rather invention - of events or objects, are highly individual here - they are not composed, they appear only in the heads of the listeners.
My advice for listening to this piece is: do not try to analyze the sounds as you would do with other pieces but try to focus on how you listen to it - be attentive to your attention!

This piece is generated in realtime with SuperCollider. It is based on additive synthesis techniques:
there are 140 single sine oscillators which are always modulated in frequency, amplitude and spatial position. The modulation processes for all oscillators are basically the same but the do not happen exactly at the same time, they are spread over long time intervals - resulting in slowly evolving sound textures.
The 140 generated audio signals are dynamically distributed in space by the software and adapted to as many as available loudspeakers in order to get a real immersive experience.","SHIFT (2014)
psychoacoustic music for 140 oscillators

SHIFT is rather a psychoacoustic than an electroacoustic piece. Because the usual musical aspects of composition, temporal structures or single sound events are secondary here. The focal point of this piece is the shifting attention during listening. The essential events in this piece are the individual moments when the attention of the listener detaches itself from the perceived sound which evolves only very slowly and which seems to be rather static for a long time.
Looking for changes in the environment and being alerted by sudden events is the daily business of our brains - a heritage of our evolutionary history. We are adapting our senses to the slightest input changes if nothing else is happening. So even when there is just one and the same sound texture we tend to extract a foreground from a slowly changing background after a while - even when there is no real difference.
The points of a change in the listeners perception, the detection - or rather invention - of events or objects, are highly individual here - they are not composed, they appear only in the heads of the listeners.
My advice for listening to this piece is: do not try to analyze the sounds as you would do with other pieces but try to focus on how you listen to it - be attentive to your attention!

This piece is generated in realtime with SuperCollider. It is based on additive synthesis techniques:
there are 140 single sine oscillators which are always modulated in frequency, amplitude and spatial position. The modulation processes for all oscillators are basically the same but the do not happen exactly at the same time, they are spread over long time intervals - resulting in slowly evolving sound textures.
The 140 generated audio signals are dynamically distributed in space by the software and adapted to as many as available loudspeakers in order to get a real immersive experience.",en,25:Andre Bartetzki, 
mainhall,2018-06-09,3,10:00,01:00,MOD: building a sustainable Linux Audio based business,102,"The MOD Project: an overview of the history, some comments and
considerations about an Open Source Linux Audio centric hardware business
attempt and some insights for the future.

MOD was born in 2010, first debuted at LAC in 2013, crowdfunded a mass
product in 2014, delivered it in 2016, consolidated in 2017 and got funded
in 2018.

These 8 years have been quite interesting and a lot has happened along. I
would like to go over this history and present what were the main
difficulties found along the way. I’d also put on the table some
considerations about the Open Source Linux Audio centric aspect and its
pros/cons. Finally, I’d like to share some insights and considerations for
the future, both for our company as for the Linux Audio Community and the
possible efforts towards attaining a sustainable business model with the
community efforts.","The MOD Project: an overview of the history, some comments and
considerations about an Open Source Linux Audio centric hardware business
attempt and some insights for the future.

MOD was born in 2010, first debuted at LAC in 2013, crowdfunded a mass
product in 2014, delivered it in 2016, consolidated in 2017 and got funded
in 2018.

These 8 years have been quite interesting and a lot has happened along. I
would like to go over this history and present what were the main
difficulties found along the way. I’d also put on the table some
considerations about the Open Source Linux Audio centric aspect and its
pros/cons. Finally, I’d like to share some insights and considerations for
the future, both for our company as for the Linux Audio Community and the
possible efforts towards attaining a sustainable business model with the
community efforts.",en,30:Gianfranco Ceccolini, 
ceminar,2018-06-09,3,11:30,01:40,One Hour Challenge,19,"A challenge to produce a music track within 60 minutes. Participants get a short MIDI file as a starting point, and woA challenge to produce a music track within 60 minutes. Participants get a short MIDI file as a starting point, and work on their track using the tools and techniques of their choice. An excellent way to test your skills as a producer. As the participants can use the program of their choice, the one hour challenge shows the diversity of music composition in the community. The participants need to bring their own hardware and headphones.rk on their track using the tools and techniques of their choice. An excellent way to test your skills as a producer. As the participants can use the program of their choice, the one hour challenge shows the diversity of music composition in the community. The participants need to bring their own hardware and headphones.","A challenge to produce a music track within 60 minutes. Participants get a short MIDI file as a starting point, and woA challenge to produce a music track within 60 minutes. Participants get a short MIDI file as a starting point, and work on their track using the tools and techniques of their choice. An excellent way to test your skills as a producer. As the participants can use the program of their choice, the one hour challenge shows the diversity of music composition in the community. The participants need to bring their own hardware and headphones.rk on their track using the tools and techniques of their choice. An excellent way to test your skills as a producer. As the participants can use the program of their choice, the one hour challenge shows the diversity of music composition in the community. The participants need to bring their own hardware and headphones.",en,31:Uroš Maravić| 32:David Vagt, 
mainhall,2018-06-09,3,12:00,00:30,Ableton Link – A technology to synchronize music software,42,"Ableton Link is a technology that synchronizes musical beat, tempo, phase, and start/stop commands across multiple applications running on one or more devices. Unlike conventional musical synchronization technologies, Link does not require master/client roles. Automatic discovery on a local area network enables a peer-to-peer system, which peers can join or leave at any time without disrupting others. Musical information is shared equally among peers, so any peer can start or stop while staying in time, or change the tempo, which is followed by all other peers.","Ableton Link is a technology that synchronizes musical beat, tempo, phase, and start/stop commands across multiple applications running on one or more devices. Unlike conventional musical synchronization technologies, Link does not require master/client roles. Automatic discovery on a local area network enables a peer-to-peer system, which peers can join or leave at any time without disrupting others. Musical information is shared equally among peers, so any peer can start or stop while staying in time, or change the tempo, which is followed by all other peers.",en,33:Florian Goltz, 
mainhall,2018-06-09,3,12:30,00:30,Software Architecture for a Multiple AVB Listener and Talker Scenario,43,"This paper presents a design approach for an AVB network segment deploying two different types of AVB server for multiple parallel streams. The first type is an UDP proxy server and the second server type is a digital signal processing server. The Linux real time operating system configurations are discussed, as well as the software architecture itself and the integration of the Jack audio server. A proper operation of the JACK server, alongside two JACK clients, in this multiprocessing environment could be shown, although a persisting buffer leak prevents significant jitter and latency measurements. A coarse assessment shows however, that the operations are within reasonable bounds.","This paper presents a design approach for an AVB network segment deploying two different types of AVB server for multiple parallel streams. The first type is an UDP proxy server and the second server type is a digital signal processing server. The Linux real time operating system configurations are discussed, as well as the software architecture itself and the integration of the Jack audio server. A proper operation of the JACK server, alongside two JACK clients, in this multiprocessing environment could be shown, although a persisting buffer leak prevents significant jitter and latency measurements. A coarse assessment shows however, that the operations are within reasonable bounds.",en,34:Christoph Kuhr| 35:Alexander Carôt, 
mainhall,2018-06-09,3,13:00,00:30,Rtosc - Realtime Safe Open Sound Control Messaging,39,"Audio applications which go beyond MIDI processing often utilize OSC (Open
Sound Control) to communicate complex parameters and advanced operations.
A variety of libraries offer solutions to network transportation of OSC
messages and provide approaches for pattern matching the messages in dispatch.
Dispatch however is performed inefficiently and manipulating OSC messages is
oftentimes not realtime safe.
rtosc was written to quickly dispatch and manipulate large quantities of OSC
messages in realtime constrained environments.
The fast dispatch is possible due to the internal tree representation as well
as the use of perfect-minimal-hashing within the pattern matching phase of
dispatch.

The primary user of rtosc is the ZynAddSubFX project which uses OSC to map
3,805,225 parameters and routinely dispatches bursts of up to 1,000 messages
per second during normal audio processing.
For audio application rtosc provides a simple OSC serialization toolset, the
realtime safe dispatch mechanisms, a ringbuffer implementation, and a rich
metadata system for representing application/library parameters.
This combination is not available in any other OSC library at the time of
writing.","Audio applications which go beyond MIDI processing often utilize OSC (Open
Sound Control) to communicate complex parameters and advanced operations.
A variety of libraries offer solutions to network transportation of OSC
messages and provide approaches for pattern matching the messages in dispatch.
Dispatch however is performed inefficiently and manipulating OSC messages is
oftentimes not realtime safe.
rtosc was written to quickly dispatch and manipulate large quantities of OSC
messages in realtime constrained environments.
The fast dispatch is possible due to the internal tree representation as well
as the use of perfect-minimal-hashing within the pattern matching phase of
dispatch.

The primary user of rtosc is the ZynAddSubFX project which uses OSC to map
3,805,225 parameters and routinely dispatches bursts of up to 1,000 messages
per second during normal audio processing.
For audio application rtosc provides a simple OSC serialization toolset, the
realtime safe dispatch mechanisms, a ringbuffer implementation, and a rich
metadata system for representing application/library parameters.
This combination is not available in any other OSC library at the time of
writing.",en,16:Mark McCurry, 
ceminar,2018-06-09,3,14:30,01:30,Yoshimi Live,4,"This is a workshop for the Yoshimi soft-synth, and is intended to give an overview of ideas for using the synth at live venues.","This is a workshop for the Yoshimi soft-synth, and is intended to give an overview of ideas for using the synth at live venues.",en,36:Will Godfrey, 
